BTS_ID	LAC	CELL_ID	X	Y	CELL_NAME	
18726	31421	24185	63,600719	53,248995	SH5225A0G-0	
19462	31421	24765	63,598299	53,202461	SH5235A0G-2	
22321	31421	25215	63,6349	53,2167	TA7075B0G-0	
14319	32922	20680	54,473393	46,194534	UK7070B0G-0	
18737	32921	22020	51,0502	43,7948	PE5080C0G-0	
13088	32253	20961	80,258783	50,362538	UK7126A0G-0	
10892	32224	21780	81,10730988	49,16467003	PE5018B0G-0	
11877	31422	20765	65,558660	53,283156	UK7120C0G-2	
28871	31422	21945	66,906853	50,252426	PE5181A0G-0	
15465	31722	26616	71,553232	51,138688	KA5099B0G-0	
16742	31721	26752	71,426719	51,160094	KA5115B0G-0	
12602	32324	20787	82,38735288	50,07838892	UK7057A0G-0	
17161	31721	25655	71,3844731290	51,1659924970	TA5047C0G-2	
7954	32423	29135	61,965250	46,197667	KZ5198B0G-0	
20043	31523	20155	69,15282984	54,86425196	KS5058B0G-0	
9545	32324	21867	82,70638488	50,20372406	PE5063A0G-0	
16811	31722	26876	71,692910	51,104480	KA5220C0G-0	
12872	31823	20874	76,9713094740	52,2640968260	UK7147C0G-0	
28985	31731	30502	71,395611	51,109244	AL5292B0G-0	
18728	31721	28931	71,4179833670	51,1923663840	KZ5060B0G-0	
9907	31723	24970	69,46207992	51,047340	SH5131A0G-0	
28954	31721	25076	71,362769	51,203280	TA3218C0G-2	
17301	31731	27277	71,4257779310	51,1370991190	KA5403B0G-0	
18203	31731	28167	71,4175750060	51,1355152340	SH5568B0G-0	
18454	31722	28450	71,477634	51,133603	SH7077C0G-0	
17767	32132	27571	72,901870	50,0846	SH7064A0G-0	
18548	32132	28535	72,999986	50,063685	SH7241B0G-0	
18757	32132	28823	72,9344	50,064190	SH5120C0G-0	
18297	32121	28090	73,057342	49,758870	SH7200B0G-0	
14812	32131	22042	73,087910	49,824930	PE5033B0G-0	
19403	32131	29740	73,0614326360	49,8064491870	AL6053A0G-0	
14774	32131	21690	73,050240	49,787260	PE4002B0G-0	
25359	31321	20720	57,19403810	50,294016	UK7059C0G-0	
12323	32123	26395	67,736026	47,712564	KA5133C0G-0	
20281	31222	20165	54,004088	46,959784	KS5114C0G-0	
17823	32121	27705	73,140318	49,806809	SH7095A0G-0	
28030	31331	21350	58,436842	50,257450	UK7042A0G-0	
7426	32723	20296	77,027880	43,242610	AS5055A0G-0	
14747	32621	23816	71,398698	42,917997	SH7155C0G-0	
17225	32641	24010	71,200934	42,831696	SH5713C0G-0	
11450	32723	24830	76,929493	43,255724	SH5541C0G-2	
10786	31322	20845	57,031422	50,453439	UK7048B0G-0	
18872	31321	21622	57,165104	50,303645	UK7056B0G-0	
19167	32721	29247	76,96074748	43,189229	KZ7065B0G-0	
16843	32721	24495	76,787232	43,266202	SH5608B0G-0	
14694	32623	20815	74,70849996	43,035561	UK7158B0G-0	
16950	32721	26656	76,849160	43,169740	KA5057C0G-0	
16959	32721	27272	76,804918	43,213164	KA5389A0G-0	
15866	32724	56077	76,947746	43,322138	SH7009C2U-2	
9603	32729	59527	77,63393988	43,516330	TA7102C4U-2	
16236	32721	28155	76,869240	43,172210	SH5424B0G-0	
9352	32727	59879	77,15595096	43,31437198	TA5237A0U-2	
19817	32726	55511	79,896303	45,4111	SH7108A2U-2	
6771	32726	53020	77,062552	43,862273	SH5161A0U-2	
11513	32728	54785	78,330580	44,987550	KZ5103A1U-2	
7427	32722	26705	76,871481	43,252871	KA5152B0G-0	
7595	32727	53606	77,613948	43,33461808	SH5471B1U-2	
19224	32724	52131	76,972004	43,3355	SH5066B0U-2	
18379	32724	56486	77,011423	43,331086	KZ7052A0U-0	
9143	32727	52167	77,102082	43,306397	SH7176A0U-2	
9254	32727	52576	77,134588	43,361888	SH7244A0U-2	
10800	32523	21435	68,278785	43,370319	UK5102A0G-0	
19381	32726	57215	78,42336912	44,93512802	SH5265A1U-2	
8978	32724	57407	76,944051	43,339560	SH7048C3U-2	
25369	32721	23821	76,789473	43,177466	SH7140B0G-0	
19492	32729	32003	79,88331384	44,11842495	AL3119C0G-0	
17723	32727	55242	77,231354	43,302557	KZ5226A0U-0	
9294	32721	21632	76,783395	43,181988	UK7028C0G-0	
25371	32722	24152	76,831039	43,242923	SH5539A0G-1	
9694	32523	25576	69,880255	42,183998	TA1504A0G-0	
11029	32533	20570	69,5766111110	42,3058658340	UK7019A0G-0	
11031	32533	21349	69,582792	42,288759	UK7042B0G-0	
6948	32524	29752	68,490175	40,799511	AL7474A0G-0	
9224	32729	58952	78,275110	43,52577802	TA5176B0U-0	
19126	32531	33305	69,618294	42,344894	AL5388A0G-0	
19976	32531	20035	69,637651	42,330017	KS5221A0G-0	
10591	32522	24486	68,239861	43,296533	SH5510B0G-0	
18320	32729	56776	79,224423	43,022937	SH5523B2U-2	
7114	32524	25135	68,20211089	42,02613101	TA7084A0G-2	
7803	32531	24952	69,626430	42,366370	SH5357A0G-2	
25427	32727	21380	77,233515	43,407824	UK4514C0G-2	
8779	32523	32090	69,6121	43,7697	AL5541A0G-0	
25178	32522	25712	68,309789	43,285071	TA5097A0G-0	
25193	32531	25715	69,502081	42,381836	TA5099A0G-0	
11066	32533	20173	69,60068918	42,2915572880	KS7012B0G-0	
18679	31420	24160	63,056378	52,936346	SH5072C0G-0	
18825	31421	24246	63,696820	53,210389	SH5614B0G-0	
19031	31421	24376	63,6389914240	53,2348134290	SH5270A0G-0	
19915	31621	20082	69,417042	53,263826	KS5220A0G-0	
14522	31622	20920	70,304146	53,090376	UK5206B0G-0	
10144	31131	21092	51,328688	51,244785	UK5069B0G-0	
13059	32223	20510	80,267269	50,405078	KO5059A0G-0	
13073	32223	20237	80,277612	50,426150	KO6000B0G-0	
8255	31422	20510	65,373025	50,285608	KO5059A0G-0	
14466	31421	20935	63,581820	53,234099	UK7222B0G-0	
12904	31823	21903	76,923757	52,357368	PE5063B0G-0	
17707	31731	27670	71,4122186660	51,1303913940	SH7183A0G-0	
20868	31721	27970	71,423864	51,174845	SH5716B0G-0	
8443	31723	23760	70,928345	51,996713	SH5507A0G-0	
20874	31721	20421	71,411110	51,191810	AS5269C0G-0	
9792	31723	25069	70,73749008	51,67388994	TA7020B0G-2	
10527	32324	21962	82,17986004	50,52194997	PE5051B0G-0	
9757	32324	22022	84,26407608	49,71680802	PE5173B0G-0	
16960	32421	32881	65,512999	44,852672	AL5322A0G-0	
26245	31523	20540	69,143014	54,908002	UK7045A0G-0	
12868	31823	20430	76,91210208	52,31029894	AS5096C0G-0	
20049	31722	21805	71,5196947690	51,15215620	PE5040C0G-0	
12877	31826	21610	76,32677808	52,98945596	UK4040B0G-0	
28715	31721	20041	71,382775	51,202552	KS5189A0G-0	
29315	31721	25102	71,4497414730	51,1752196280	TA6001B0G-2	
14846	32131	20800	73,084410	49,793640	UK7051B0G-0	
18730	32132	28777	72,921430	50,054560	SH5401B0G-0	
14852	32123	21540	67,526946	47,90337201	UK5155A0G-0	
19912	31321	20184	57,1567277780	50,2983138890	KS5227C0G-0	
16750	32723	26995	76,950530	43,228797	KA5219B0G-0	
22849	31321	21434	57,132380	50,310929	UK5033C0G-0	
17510	32721	23950	76,940148	43,184640	SH7227A0G-0	
