Category,URL,FQDN
Dropper,https://www.anca-aste.it/uploads/form/02E319AF73A33547343B71D5CB1064BC.dotm,www.anca-aste.it
Dropper,https://www.fabianiarte.com/uploads/imgup/21it-23792.jpg,www.fabianiarte.com
Dropper,https://www.forecareer.com/gdcareer/officetemplate-20nab.asp?iqxml=NVcareer183991,www.forecareer.com
Persistence DLL,http://support.medicalinthecloud.com/TechCenter/include/slide.asp,support.medicalinthecloud.com
Persistence DLL,http://pennontraders.com/assets/slides/view.jsp,pennontraders.com
RAT Component,http://125.206.177.152/old/viewer.php,125.206.177.152
RAT Component,http://www.hirokawaunso.co.jp/wordpress/wp-includes/review.php,www.hirokawaunso.co.jp
RAT Component,http://indoweb.org/love/data/common/common.php,indoweb.org
RAT Component,http://admin.shcpa.co.kr/_asapro2/formmail/lib.php,admin.shcpa.co.kr
RAT Component,https://premier-inn.jp/,premier-inn.jp
RAT Component,http://137.74.114.227/theveniaux/webliotheque/public/css/main.php,137.74.114.227
RAT Component,https://bootcamp-coders.cnm.edu/~dmcdonald21/emoji-review/storage/framework.php,bootcamp-coders.cnm.edu
RAT Component,https://yakufreshperu.com/facturacion/public/css/main.php,yakufreshperu.com
Exfiltration,https://www.gonnelli.it/uploads/catalogo/thumbs/thumb.asp,www.gonnelli.it
Exfiltration,https://www.astedams.it/photos/image/image.asp,www.astedams.it
Uncategorized,https://vega.mh-tec.jp/.well-known/index.php,vega.mh-tec.jp
Uncategorized,https://www.index-consulting.jp/eng/news/index.php,www.index-consulting.jp
Uncategorized,https://www.apars-surgery.org/bbs/bbs_files/board_photo/menu.php,www.apars-surgery.org
Uncategorized,https://prestigein-am.jp/akita/wp-includes/wp-rss1.php,prestigein-am.jp
Uncategorized,https://www.lyzeum.com/popup/popup.asp,www.lyzeum.com
Uncategorized,https://www.calculadoras.mx/themes/pack/pilot.php,www.calculadoras.mx
Uncategorized,http://www.anisweb.org/layout/site/style/preview.jsp,www.anisweb.org
Uncategorized,https://www.shikshakibaat.com/classes/detail.jsp,www.shikshakibaat.com
Uncategorized,http://www.mannpublicwhseltd.com/cservice.asp,www.mannpublicwhseltd.com
Uncategorized,https://acanicjquery.com/slides/style.php,acanicjquery.com
Uncategorized,https://genieaccount.com/images/common/common.asp,genieaccount.com
Uncategorized,https://turnscor.com/ACT/images/slide/view.jsp,turnscor.com
Uncategorized,https://www.arumdaunresort.com/admin/html/user/contact.asp,www.arumdaunresort.com
Uncategorized,https://www.astedams.it/photos/image/image.asp,www.astedams.it
Uncategorized,https://www.automercado.co.cr/empleo/css/main.jsp,www.automercado.co.cr
Uncategorized,https://www.curiofirenze.com/include/inc-site.asp,www.curiofirenze.com
Uncategorized,https://www.emilypress.com/CMWorking/Static/service/center.asp,www.emilypress.com
Uncategorized,https://www.fabianiarte.com/pdf/thumbs/thumb.asp,www.fabianiarte.com
Uncategorized,https://www.fidesarte.it/thumb/multibox/style/common.asp,www.fidesarte.it
Uncategorized,https://www.hansolhope.or.kr/welfare/notice/view.jsp,www.hansolhope.or.kr
Uncategorized,https://www.paghera.com/content/view/thumb/info.asp,www.paghera.com
Uncategorized,https://www.reseau-canope.fr/conventions/css/en/edit.jsp,www.reseau-canope.fr
Uncategorized,https://www.sanlorenzoyacht.com/newsl/include/inc-map.asp,www.sanlorenzoyacht.com
Uncategorized,https://95octane.com/,95octane.com
Uncategorized,https://www.factmag.com/,www.factmag.com
Uncategorized,https://www.gonnelli.it,www.gonnelli.it
Uncategorized,https://www.leemble.com/,www.leemble.com
Uncategorized,https://www.ne-ba.org/,www.ne-ba.org
